         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	        temp	         Alk	          mu	      charge	     pct_err	          Na	           K	          Mg	          Ca	           F	          Cl	       S(+6)	          Br	       N(+5)	        P(5)	          Al	           V	          Cr	          Mn	          Fe	          Cu	          Zn	          Ga	          As	          Si	       m_OH-	     m_HCO3-	  si_Fe(OH)2	  si_Fe(OH)3	 si_Gibbsite	 si_Goethite	si_Pyrolusite	si_Kaolinite	 si_Diaspore	si_Magnetite	 si_Boehmite	  si_Cuprite	  Sample_Ref	  EC_(uS/cm)	TDS_g/kg-solution	    alk_mg/L	
           2	      i_soln	           1	         -99	         -99	         -99	       11.98	           4	      25.600	   0.0318571	   0.0215583	  0.00600031	     15.0628	  1.9439e-02	  2.6000e-05	  1.2302e-08	  1.8133e-03	  6.1941e-05	  9.2126e-05	  0.0000e+00	  0.0000e+00	  5.1074e-05	  0.0000e+00	  4.9882e-03	  0.0000e+00	  0.0000e+00	  1.1255e-07	  5.6692e-10	  1.9888e-06	  1.1539e-06	  0.0000e+00	  0.0000e+00	  3.5474e-06	  1.1720e-02	  0.0000e+00	   -999.9990	   -999.9990	      0.1831	      1.2886	      6.0129	     -6.2921	   -999.9990	   -999.9990	   -999.9990	   -999.9990	      1WBR1 	  3.3158e+03	  1.2036e+00	  1.5945e-03	
           2	      i_soln	           2	         -99	         -99	         -99	       11.76	           4	      25.600	   0.0222762	   0.0179242	   0.0104052	     31.4985	  1.8737e-02	  1.0006e-04	  1.2302e-08	  1.4869e-03	  2.8562e-05	  2.7820e-04	  0.0000e+00	  0.0000e+00	  5.2979e-05	  0.0000e+00	  3.7382e-03	  0.0000e+00	  0.0000e+00	  8.3746e-10	  1.3814e-05	  5.7474e-07	  1.7052e-07	  0.0000e+00	  0.0000e+00	  2.0984e-04	  6.9833e-03	  0.0000e+00	   -999.9990	   -999.9990	      0.2823	      5.8992	      3.3214	     -2.0704	   -999.9990	   -999.9990	   -999.9990	   -999.9990	     1WBRA2 	  2.3792e+03	  1.0042e+00	  1.1149e-03	
           2	      i_soln	           3	         -99	         -99	         -99	       11.93	           4	      29.300	   0.0335507	   0.0221047	  0.00290835	     6.99811	  1.9495e-02	  2.4972e-05	  1.2302e-08	  1.4176e-03	  7.8427e-05	  8.7780e-05	  0.0000e+00	  0.0000e+00	  2.2861e-04	  0.0000e+00	  4.8324e-03	  0.0000e+00	  0.0000e+00	  8.3750e-10	  4.6622e-07	  9.9679e-08	  1.3895e-07	  0.0000e+00	  0.0000e+00	  2.8146e-04	  1.3789e-02	  0.0000e+00	   -999.9990	   -999.9990	      0.0445	      4.0968	      4.2546	     -2.8833	   -999.9990	   -999.9990	   -999.9990	   -999.9990	     1WBRS1 	  3.9359e+03	  1.2458e+00	  1.6792e-03	
           2	      i_soln	           4	         -99	         -99	         -99	       10.92	           4	      30.200	  0.00167151	   0.0421524	   0.0553585	     93.7931	  3.1867e-02	  3.9075e-05	  1.5559e-06	  1.2721e-02	  2.4591e-05	  1.1828e-04	  7.9057e-05	  0.0000e+00	  5.0975e-05	  0.0000e+00	  8.5796e-06	  0.0000e+00	  0.0000e+00	  8.3800e-10	  4.4337e-06	  3.5436e-07	  2.7432e-07	  0.0000e+00	  0.0000e+00	  1.7497e-05	  1.5071e-03	  0.0000e+00	   -999.9990	   -999.9990	     -1.7561	      6.0273	      1.2694	     -6.9227	   -999.9990	   -999.9990	   -999.9990	   -999.9990	    1WBRG2  	  3.1431e+03	  1.2883e+00	  8.3659e-05	
           2	      i_soln	           5	         -99	         -99	         -99	       11.82	           4	      29.800	   0.0202258	   0.0136311	 -0.00104213	    -4.07625	  1.0491e-02	  1.4137e-05	  1.2299e-08	  9.1149e-04	  3.3636e-05	  5.8182e-05	  0.0000e+00	  0.0000e+00	  5.0215e-05	  0.0000e+00	  2.3324e-03	  0.0000e+00	  0.0000e+00	  8.3723e-10	  5.6674e-10	  7.2854e-08	  1.4680e-07	  0.0000e+00	  0.0000e+00	  3.3298e-05	  1.0794e-02	  0.0000e+00	   -999.9990	   -999.9990	     -0.1737	      1.2812	      4.0380	     -4.9356	   -999.9990	   -999.9990	   -999.9990	   -999.9990	      2WBR1 	  2.8711e+03	  6.9311e-01	  1.0123e-03	
           2	      i_soln	           6	         -99	         -99	         -99	       11.54	           4	      30.100	   0.0159258	   0.0124356	  0.00518911	     22.8282	  1.1727e-02	  6.2145e-05	  1.2299e-08	  1.1077e-03	  1.6592e-04	  8.3807e-05	  0.0000e+00	  4.2243e-05	  5.3118e-05	  0.0000e+00	  2.4697e-03	  0.0000e+00	  0.0000e+00	  1.0959e-07	  4.1075e-05	  1.5241e-06	  7.6901e-07	  0.0000e+00	  0.0000e+00	  1.4918e-04	  5.7621e-03	  0.0000e+00	   -999.9990	   -999.9990	      0.1193	      6.4103	      5.3845	     -2.4720	   -999.9990	   -999.9990	   -999.9990	   -999.9990	     2WBRA1 	  1.9454e+03	  6.8169e-01	  7.9709e-04	
           2	      i_soln	           7	         -99	         -99	         -99	       11.76	           4	      30.100	   0.0172811	   0.0126818	-0.000127725	   -0.545021	  9.6683e-03	  1.5437e-05	  1.2648e-06	  1.0168e-03	  3.4783e-05	  6.2215e-05	  0.0000e+00	  0.0000e+00	  5.0435e-05	  0.0000e+00	  1.8548e-03	  0.0000e+00	  0.0000e+00	  8.3722e-10	  1.5995e-05	  6.2967e-08	  1.0254e-07	  0.0000e+00	  0.0000e+00	  1.7981e-04	  9.5723e-03	  0.0000e+00	   -999.9990	   -999.9990	     -0.2255	      5.7807	      3.9104	     -3.4598	   -999.9990	   -999.9990	   -999.9990	   -999.9990	    2WBRS1  	  2.6046e+03	  6.2852e-01	  8.6492e-04	
           2	      i_soln	           8	         -99	         -99	         -99	       10.94	           4	      29.600	  0.00177709	    0.031858	   0.0353219	     90.4975	  1.2433e-02	  1.7591e-05	  1.4815e-06	  1.2438e-02	  2.8325e-05	  5.8095e-05	  5.3664e-05	  0.0000e+00	  5.0359e-05	  0.0000e+00	  2.9982e-06	  0.0000e+00	  0.0000e+00	  8.3762e-10	  4.6934e-06	  1.0658e-07	  2.4312e-07	  0.0000e+00	  0.0000e+00	  1.7156e-04	  1.4792e-03	  0.0000e+00	   -999.9990	   -999.9990	     -2.1968	      6.0644	      1.2720	     -5.8118	   -999.9990	   -999.9990	   -999.9990	   -999.9990	     2WBRG1 	  2.1617e+03	  8.3950e-01	  8.8943e-05	
           2	      i_soln	           9	         -99	         -99	         -99	       11.69	           4	      30.200	    0.013423	   0.0101044	 -0.00103836	     -5.6535	  6.7786e-03	  1.1166e-05	  1.2297e-08	  9.6456e-04	  1.9512e-05	  4.9994e-05	  0.0000e+00	  0.0000e+00	  5.4823e-05	  0.0000e+00	  1.2608e-03	  0.0000e+00	  0.0000e+00	  1.2727e-07	  1.2208e-06	  2.0352e-06	  1.0774e-06	  0.0000e+00	  0.0000e+00	  1.9144e-04	  8.1147e-03	  0.0000e+00	   -999.9990	   -999.9990	     -0.3232	      4.7334	      5.9098	     -3.4476	   -999.9990	   -999.9990	   -999.9990	   -999.9990	      3WBR2 	  2.1592e+03	  4.7767e-01	  6.7182e-04	
           2	      i_soln	          10	         -99	         -99	         -99	       11.33	           4	      29.600	  0.00933929	  0.00823954	  0.00397149	     27.2894	  7.2835e-03	  3.6453e-05	  1.6675e-06	  9.8280e-04	  2.4798e-05	  6.0745e-05	  0.0000e+00	  4.3890e-05	  7.0985e-05	  0.0000e+00	  1.3472e-03	  0.0000e+00	  0.0000e+00	  1.2055e-07	  1.7947e-04	  1.6197e-07	  3.1613e-07	  0.0000e+00	  0.0000e+00	  2.0477e-04	  3.3594e-03	  0.0000e+00	   -999.9990	   -999.9990	      0.0971	      7.2883	      4.7316	     -1.7705	   -999.9990	   -999.9990	   -999.9990	   -999.9990	     3WBRA2 	  1.1959e+03	  4.4598e-01	  4.6743e-04	
