         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	        temp	         Alk	          mu	      charge	     pct_err	          Na	           K	          Mg	          Ca	           F	          Cl	       S(+6)	          Br	       N(+5)	        P(5)	          Al	           V	          Cr	          Mn	          Fe	          Cu	          Zn	          Ga	          As	          Si	       m_OH-	     m_HCO3-	     m_CO3-2	  si_Fe(OH)2	  si_Fe(OH)3	 si_Gibbsite	 si_Goethite	si_Pyrolusite	si_Kaolinite	 si_Diaspore	si_Magnetite	 si_Boehmite	  si_Cuprite	   si_CO2(g)	  Sample_Ref	  EC_(uS/cm)	TDS_g/kg-solution	    alk_mg/L	
           2	      i_soln	           1	         -99	         -99	         -99	     12.1759	           4	      25.600	   0.0378744	   0.0244285	-2.53529e-17	-5.55565e-14	  1.9439e-02	  2.6003e-05	  1.2306e-08	  1.8134e-03	  6.1941e-05	  9.2127e-05	  0.0000e+00	  0.0000e+00	  5.1074e-05	  0.0000e+00	  4.9882e-03	  9.9022e-06	  4.9829e-07	  1.1255e-07	  5.6692e-10	  1.9889e-06	  1.1535e-06	  2.6594e-06	  1.5907e-07	  3.5480e-06	  1.7609e-02	  0.0000e+00	  0.0000e+00	    -16.9145	     -5.4981	      0.5747	     -0.3965	      5.1647	     -6.1777	      1.1716	    -13.1711	      0.7695	     -6.6953	   -999.9990	      1WBR1 	  0.0000e+00	  1.1270e+00	  1.8956e-03	
           2	      i_soln	           2	         -99	         -99	         -99	     12.1679	           4	      25.600	   0.0327022	   0.0228653	-1.85325e-16	-4.30763e-13	  1.8737e-02	  1.0007e-04	  1.2306e-08	  1.4870e-03	  2.8562e-05	  2.7821e-04	  0.0000e+00	  0.0000e+00	  5.2979e-05	  0.0000e+00	  3.7382e-03	  1.5779e-05	  7.2770e-07	  8.3746e-10	  1.3814e-05	  5.7474e-07	  1.7047e-07	  2.2230e-06	  4.2043e-07	  2.0987e-04	  1.7215e-02	  0.0000e+00	  0.0000e+00	    -12.5099	     -1.1016	      0.4593	      4.0000	      3.4874	     -2.8322	      1.0561	      0.0265	      0.6540	     -7.7111	   -999.9990	     1WBRA2 	  0.0000e+00	  1.0443e+00	  1.6367e-03	
           2	      i_soln	           3	         -99	         -99	         -99	     12.0337	           4	      29.300	   0.0364836	   0.0234133	-3.07567e-17	-6.96547e-14	  1.9495e-02	  2.4974e-05	  1.2306e-08	  1.4177e-03	  7.8427e-05	  8.7781e-05	  0.0000e+00	  0.0000e+00	  2.2861e-04	  0.0000e+00	  4.8324e-03	  1.7386e-05	  4.3004e-07	  8.3750e-10	  4.6622e-07	  9.9679e-08	  1.3891e-07	  2.7656e-06	  4.1484e-07	  2.8151e-04	  1.6625e-02	  0.0000e+00	  0.0000e+00	    -13.5596	     -2.2604	      0.5382	      2.7929	      3.7530	     -2.3324	      1.1510	     -3.4409	      0.7550	     -8.3881	   -999.9990	     1WBRS1 	  0.0000e+00	  1.1185e+00	  1.8260e-03	
           2	      i_soln	           4	         -99	         -99	         -99	     12.4871	           4	      30.200	   0.0570342	   0.0649295	-8.72801e-15	-7.98707e-12	  3.1867e-02	  3.9079e-05	  1.5564e-06	  1.2721e-02	  2.4591e-05	  1.1828e-04	  7.9075e-05	  0.0000e+00	  5.0975e-05	  0.0000e+00	  8.5796e-06	  2.7596e-06	  3.9007e-07	  8.3800e-10	  4.4337e-06	  3.5436e-07	  2.7424e-07	  3.0732e-07	  4.2030e-10	  1.7501e-05	  5.4291e-02	  0.0000e+00	  0.0000e+00	    -13.4803	     -1.7223	     -2.7374	      3.3199	      4.5372	    -12.5676	     -2.1206	     -2.3075	     -2.5151	    -10.2531	   -999.9990	    1WBRG2  	  0.0000e+00	  2.2258e+00	  2.8546e-03	
           2	      i_soln	           5	         -99	         -99	         -99	     11.8001	           4	      29.800	   0.0191927	   0.0131172	-1.92596e-15	-7.86152e-12	  1.0491e-02	  1.4139e-05	  1.2302e-08	  9.1154e-04	  3.3636e-05	  5.8182e-05	  0.0000e+00	  0.0000e+00	  5.0215e-05	  0.0000e+00	  2.3324e-03	  6.9535e-06	  2.0590e-07	  8.3723e-10	  5.6674e-10	  7.2854e-08	  1.4676e-07	  8.4951e-07	  1.2400e-07	  3.3304e-05	  9.7379e-03	  0.0000e+00	  0.0000e+00	    -15.9742	     -4.9053	      0.4481	      0.1414	      3.3608	     -3.7225	      1.0627	    -11.1592	      0.6676	     -7.1392	   -999.9990	      2WBR1 	  0.0000e+00	  5.9153e-01	  9.6060e-04	
           2	      i_soln	           6	         -99	         -99	         -99	     11.8359	           4	      30.100	   0.0211278	   0.0149354	-1.66569e-15	-6.00253e-12	  1.1727e-02	  6.2151e-05	  1.2303e-08	  1.1078e-03	  1.6592e-04	  8.3808e-05	  0.0000e+00	  4.2243e-05	  5.3118e-05	  0.0000e+00	  2.4697e-03	  1.0931e-05	  4.1855e-07	  1.0959e-07	  4.1075e-05	  1.5241e-06	  7.6878e-07	  9.9778e-07	  3.2367e-07	  1.4921e-04	  1.0881e-02	  0.0000e+00	  0.0000e+00	    -11.1760	     -0.0693	      0.4209	      4.9736	      4.9564	     -2.5932	      1.0368	      3.3032	      0.6422	     -4.7330	   -999.9990	     2WBRA1 	  0.0000e+00	  6.7928e-01	  1.0574e-03	
           2	      i_soln	           7	         -99	         -99	         -99	     11.7773	           4	      30.100	   0.0171662	   0.0125875	-3.09965e-16	-1.33541e-12	  9.6683e-03	  1.5438e-05	  1.2652e-06	  1.0169e-03	  3.4783e-05	  6.2216e-05	  0.0000e+00	  0.0000e+00	  5.0435e-05	  0.0000e+00	  1.8548e-03	  1.1539e-05	  1.2119e-07	  8.3722e-10	  1.5995e-05	  6.2967e-08	  1.0251e-07	  6.0186e-07	  3.6771e-07	  1.7984e-04	  9.4214e-03	  0.0000e+00	  0.0000e+00	    -11.4649	     -0.4168	      0.3592	      4.6260	      3.3513	     -2.3854	      0.9751	      2.3192	      0.5804	     -7.1182	   -999.9990	    2WBRS1  	  0.0000e+00	  5.5753e-01	  8.5917e-04	
           2	      i_soln	           8	         -99	         -99	         -99	     12.3263	           4	      29.600	   0.0371033	   0.0459496	-3.03148e-14	-4.29001e-11	  1.2433e-02	  1.7593e-05	  1.4820e-06	  1.2438e-02	  2.8325e-05	  5.8096e-05	  5.3676e-05	  0.0000e+00	  5.0359e-05	  0.0000e+00	  2.9982e-06	  2.7505e-06	  1.0045e-07	  8.3762e-10	  4.6934e-06	  1.0658e-07	  2.4305e-07	  1.8072e-07	  4.2011e-10	  1.7159e-04	  3.4938e-02	  0.0000e+00	  0.0000e+00	    -13.1481	     -1.5545	     -2.9941	      3.4950	      4.2524	    -10.4235	     -2.3800	     -1.6251	     -2.7755	    -10.2440	   -999.9990	     2WBRG1 	  0.0000e+00	  1.4356e+00	  1.8570e-03	
           2	      i_soln	           9	         -99	         -99	         -99	     11.6551	           4	      30.200	   0.0123916	  0.00956998	-1.48616e-15	-8.60767e-12	  6.7786e-03	  1.1167e-05	  1.2301e-08	  9.6460e-04	  1.9512e-05	  4.9994e-05	  0.0000e+00	  0.0000e+00	  5.4823e-05	  0.0000e+00	  1.2608e-03	  6.4600e-06	  2.1605e-07	  1.2727e-07	  1.2208e-06	  2.0352e-06	  1.0770e-06	  2.6325e-07	  4.1987e-10	  1.9148e-04	  7.0680e-03	  0.0000e+00	  0.0000e+00	    -12.3291	     -1.4025	      0.3152	      3.6390	      4.5645	     -2.1003	      0.9314	     -0.5192	      0.5369	     -3.3199	   -999.9990	      3WBR2 	  0.0000e+00	  4.1180e-01	  6.2020e-04	
           2	      i_soln	          10	         -99	         -99	         -99	     11.6856	           4	      29.600	   0.0133189	   0.0101487	-3.60635e-15	-1.96126e-11	  7.2835e-03	  3.6457e-05	  1.6680e-06	  9.8285e-04	  2.4798e-05	  6.0745e-05	  0.0000e+00	  4.3890e-05	  7.0986e-05	  0.0000e+00	  1.3472e-03	  7.6579e-06	  3.4751e-07	  1.2055e-07	  1.7947e-04	  1.6197e-07	  3.1604e-07	  4.3470e-07	  2.3418e-07	  2.0481e-04	  7.2815e-03	  0.0000e+00	  0.0000e+00	    -10.2484	      0.7048	      0.3386	      5.7540	      4.5473	     -2.0377	      0.9524	      5.7919	      0.5570	     -5.7177	   -999.9990	     3WBRA2 	  0.0000e+00	  4.6195e-01	  6.6661e-04	
